section,path,name,type,index,offset,size,key,value,hex,severity,description
field,sample.wav/fmt ,chunk_size,field,,0x10,4,,16,0x10,normal,
field,sample.wav/fmt ,audio_format,field,,0x14,2,,1,0x1,normal,PCM
field,sample.wav/fmt ,format_name,field,,0x14,2,,PCM,,normal,
field,sample.wav/fmt ,channels,field,,0x16,2,,1,,normal,
field,sample.wav/fmt ,sample_rate,field,,0x18,4,,8000,,normal,
field,sample.wav/fmt ,byte_rate,field,,0x1C,4,,16000,,normal,
field,sample.wav/fmt ,block_align,field,,0x20,2,,2,,normal,
field,sample.wav/fmt ,bits_per_sample,field,,0x22,2,,16,,normal,
node,sample.wav/data,data,riff_chunk,,0x24,1032,,,,normal,
field,sample.wav/data,chunk_id,field,,0x24,4,,data,64 61 74 61,normal,
field,sample.wav/data,chunk_size,field,,0x28,4,,1024,0x400,normal,
field,sample.wav/data,data_bytes,field,,0x2C,1024,,1024,,normal,音频数据字节数
